TYPE,COUNT,CATEGORY
TIME PERIOD,498,TREATMENT
ECOTYPE,492,GENOMIC/TRANSCRIPTOMIC FEATURE
BIOPOLYMER,490,CHEMICAL
MARKER,487,GENOMIC/TRANSCRIPTOMIC FEATURE
PROTEIN INTERACTION,485,GENE/PROTEIN
GENE MODULE,484,GENE/PROTEIN
PLANT,479,CELL/ORGAN/ORGANISM
RELATIONSHIP,475,METHOD
CHEMICAL COMPOUND,471,CHEMICAL
PLANT HORMONE,470,CHEMICAL
LNCRNA,464,GENOMIC/TRANSCRIPTOMIC FEATURE
GENETIC CONSTRUCT,462,GENOMIC/TRANSCRIPTOMIC FEATURE
ORGANISM PART,462,CELL/ORGAN/ORGANISM
SEQUENCE FEATURE,461,GENOMIC/TRANSCRIPTOMIC FEATURE
GENETIC PROCESS,454,BIOLOGICAL PROCESS
GENUS,451,GENOMIC/TRANSCRIPTOMIC FEATURE
GENETIC CONCEPT,442,GENOMIC/TRANSCRIPTOMIC FEATURE
BIOLOGICAL PATHWAY,428,BIOLOGICAL PROCESS
CHEMICAL GROUP,417,CHEMICAL
